affekterad	a f ɛ k t 'eː r a d
affektion	a f ɛ k ɧ 'uː n
affektionsvärde	²a f ɛ k ɧ 'uː n s v ɛː d ɛ
affisch	a f 'ɪ ɧ
affischera	a f ɪ ɧ 'eː r a
affischerar	a f ɪ ɧ 'eː r a r
affrikata	a f r ɪ k 'ɑː t a
affär	a f 'ɛː r
affärsbiträde	a f r ɕ b ɪ t r ɛː d ɛ
affärsidé	a f r ɕ 'iː d 'eː
affärskvinna	a f ɛː r s k v ɪ n a
affärsliv	a f r ɕ l 'iː v
affärsman	²a f 'ɛː ɕ m a n
affärsmässig	a f r ɕ m ɛ s ɪ ɡ
affärsresa	a f r ɕ r 'eː s a
aforism	a f ʊ r 'ɪ s m
afrika	'ɑː f r ɪ k a
afrikan	a f r ɪ k 'ɑː n
afrikansk	a f r ɪ k 'ɑː n s k
afrofrisyr	²'a f r ʊ f r ɪ s yː r
afse	²s a f s ɛ
afterski	'ɑː f t 'ɛː r s k 'iː
afterwork	'ɑː f t 'ɛː r w oː r k
afton	²'a f t ɔ n
aftonfalk	a f t ɔ n f a l k
aga	²'ɑː ɡ a
agar	²'ɑː ɡ a r
agat	a ɡ 'ɑː t
agb	ɑː ɡ eː b 'eː
agenda	a ɡ ɛ n d a
agent	a ɡ 'ɛ n t
agera	a ɡ 'eː r a
agerar	a ɡ 'eː r a r
agg	a ɡ
aggregat	a ɡ r ɛ ɡ 'ɑː t
aggression	a ɡ r ɛ ɧ 'uː n
aggressiv	a ɡ r ɛ s 'iː v
agitera	a ɡ ɪ t 'eː r a
agiterar	a ɡ ɪ t 'eː r a r
agn	a ŋ n
agna	a ŋ n a
agnar	²'a ŋ n a r
agneta	a ŋ ²s n 'eː t a
agnosticism	a ɡ n ɔ s t ɪ s ɪ s m
agnostiker	a ɡ n ɔ s t ɪ k ɛ r
agronom	a ɡ r ʊ n 'oː m
ags	ɑː ɡ eː 'ɛ s
aha-upplevelse	²a h 'ɑː ɵ p l eː v ɛ l s ɛ
ahlman	'ɑː l m a n
aids	ɛ j d s
aioli	a j oː l ɪ
aj	a j
ajdå	a j d oː
ajour	a ɧ 'uː r
ajournera	a ɧ ʊ n 'eː r a
ajournerar	a ɧ ʊ n 'eː r a r
ajö	a j øː
ajöken	a j øː k ɛ n
ajöss	a j œ s
akaciames	a k 'ɑː s ɪ j a m 'eː s
akademi	a k a d ɛ m 'iː
akademiker	a k a d 'eː m ɪ k ɛ r
akademisk	a k a d 'eː m ɪ s k
akilleshäl	²a k 'ɪ l ɛ s h ɛː l
