!sil	SIL
'c'que	s k
'j'ai	ʒ e
'l'appartement	ɛ l a p a ʁ t ə m ɑ̃
16e	i
1er	p ʁ ə m j e
1re	ʁ
1ère	ɛ ʁ
2l	d ø l
36ème	i ɛ m
3g	ɡ
4c	k
4l	k l
4x4	k s k
6b	s i s b e
7ème	s ɛ t j ɛ m
_ici	i s i
_ils	i s i
a	a
a-t-elle	a t ɛ l
a-t-il	a t i l
a-t-on	a t ɔ̃
a-til	a t i
a1	a œ̃
aa	a a
aai	a i
ab	a l b i t
abad	a b a d
abaissa	a b ɛ s a
abaissaient	a b ɛ s ɛ
abaissait	a b ɛ s ɛ
abaissant	a b ɛ s ɑ̃
abaisse	a b ɛ s
abaissement	a b ɛ s m ɑ̃
abaissements	a b ɛ s m ɑ̃
abaissent	a b ɛ s
abaisser	a b e s e
abaisserait	a b ɛ s ə ʁ ɛ
abaissèrent	a b ɛ s ɛ ʁ
abaissé	a b e s e
abaissée	a b ɛ s e
abaissées	a b ɛ s e
abaissés	a b ɛ s e
abandon	a b ɑ̃ d ɔ̃
abandonna	a b ɑ̃ d ɔ n a
abandonnaient	a b ɑ̃ d ɔ n ɛ
abandonnait	a b ɑ̃ d ɔ n ɛ
abandonnant	a b ɑ̃ d ɔ n ɑ̃
abandonne	a b ɑ̃ d ɔ n
abandonnement	a b ɑ̃ d ɔ n m ɑ̃
abandonnent	a b ɑ̃ d ɔ n
abandonner	a b ɑ̃ d ɔ n e
abandonnera	a b ɑ̃ d ɔ n ʁ a
abandonnerai	a b ɑ̃ d ɔ n ə ʁ e
abandonneraient	a b ɑ̃ d ɔ n ə ʁ ɛ
abandonnerait	a b ɑ̃ d ɔ n ə ʁ ɛ
abandonneras	a b ɑ̃ d ɔ n ə ʁ a
abandonneriez	a b ɑ̃ d ɔ n ə ʁ j e
abandonnerons	a b ɑ̃ d ɔ n ə ʁ ɔ̃
abandonneront	a b ɑ̃ d ɔ n ə ʁ ɔ̃
abandonnes	a b ɑ̃ d ɔ n
abandonnez	a b ɑ̃ d ɔ n e
abandonnez-moi	a b ɑ̃ d ɔ n e m w a
abandonnez-vous	a b ɑ̃ d ɔ n e v u
abandonniez	a b ɑ̃ d ɔ n j e
abandonnons-nous	a b ɑ̃ d ɔ n ɔ̃ n u
abandonnât	a b ɑ̃ d ɔ n a
abandonnèrent	a b ɑ̃ d ɔ n ɛ ʁ
abandonné	a b ɑ̃ d ɔ n e
abandonnée	a b ɑ̃ d ɔ n e
abandonnées	a b ɑ̃ d ɔ n e
abandonnés	a b ɑ̃ d ɔ n e
abasourdi	a b a s u ʁ d i
abasourdie	a b a z u ʁ d i
abasourdis	a b a z u ʁ d i
abasourdit	a b a z u ʁ d i
abat	a b a
abat-jour	a b a ʒ u ʁ
abatis	a b a t i
abats	a b a
abattage	a b a t a ʒ
abattait	a b a t ɛ
abattant	a b a t ɑ̃
abatte	a b a t
abattement	a b a t m ɑ̃
abattements	a b a t m ɑ̃
abattent	a b a t
abattez	a b a t e
abattirent	a b a t i ʁ
abattit	a b a t i
abattoir	a b a t w a ʁ
abattoirs	a b a t w a ʁ
abattra	a b a t ʁ a
abattrait	a b a t ʁ ɛ
abattre	a b a t ʁ
abattront	a b a t ʁ ɔ̃
abattu	a b a t y
abattue	a b a t y
abattues	a b a t y
abattus	a b a t y
abbaye	a b e i
abbes	a b
abbesse	a b ɛ s
abbesses	a b ɛ s
abbeville	a b v i l
abbeville-saint-lucien	a b v i l s ɛ̃ l y s j ɛ̃
abbé	a b e
abbés	a b e
abbés-tanguy	a b e t ɑ̃ ɡ i
abcès	a b s ɛ
abd	a b d
abd-el-kader	a b d ɛ l k a d e ʁ
abdallah	a b d a l a
abdelaziz	a b d e l a z i z
abdeslam	a b d ɛ s l a m
abdication	a b d i k a s j ɔ̃
abdiquant	a b d i k ɑ̃
abdique	a b d i k
abdiquer	a b d i k e
abdomen	a b d ɔ m ɛ n
abdominaux	a b d ɔ m i n o
abdou	a b d u
abdul-medjid	a b d u l m ɛ d ʒ i
abeille	a b ɛ j
abeilles	a b ɛ j
abel	a b ɛ l
aberrant	a b e ʁ ɑ̃
aberrantes	a b ɛ ʁ ɑ̃ t
aberration	a b ɛ ʁ a s j ɔ̃
aberrations	a b ɛ ʁ a s j ɔ̃
abhorre	a b ɔ ʁ
abhorré	a b ɔ ʁ e
abime	a b i m
abimer	a b i m e
abimé	a b i m e
abimée	a b i m e
abimées	a b i m e
abimés	a b i m e
abiès	a b j ɛ s
abject	a b ʒ ɛ k t
abjecte	a b ʒ ɛ k t
abjectes	a b ʒ ɛ k t
abjection	a b ʒ ɛ k s j ɔ̃
abjects	a b ʒ ɛ k t
abkhaze	a b k a z
abkhazes	a b k a z
abkhazie	a b k a z i
ablations	a b l a s j ɔ̃
able	a b l
ables-oxyrhinques	a b l ɛ o k s i ʁ ɛ̃ k
ablis	a b l i
ablon-sur-seine	a b l ɔ̃ s y ʁ s ɛ n
ablutions	a b l y s j ɔ̃
aboie	a b w a
aboiement	a b w a m ɑ̃
aboiements	a b w a m ɑ̃
aboient	a b w a
aboieraient	a b w a ʁ ɛ
aboierait	a b w a ʁ ɛ
abois	a b w a
aboli	a b ɔ l i
abolir	a b ɔ l i ʁ
abolitionniste	a b ɔ l i s j ɔ n i s t
abominable	a b ɔ m i n a b l
abominablement	a b ɔ m i n a b l ə m ɑ̃
abominables	a b ɔ m i n a b l
abomination	a b ɔ m i n a s j ɔ̃
abominations	a b ɔ m i n a s j ɔ̃
abonda-t-il	a b ɔ̃ d a t i l
abondaient	a b ɔ̃ d ɛ
abondait	a b ɔ̃ d ɛ
abondamment	a b ɔ̃ d a m ɑ̃
abondance	a b ɔ̃ d ɑ̃ s
abondant	a b ɔ̃ d ɑ̃
abondante	a b ɔ̃ d ɑ̃ t
abondantes	a b ɔ̃ d ɑ̃ t
abondants	a b ɔ̃ d ɑ̃
abonde	a b ɔ̃ d
abondent	a b ɔ̃ d
abonderaient	a b ɔ̃ d ə ʁ ɛ
abonderait	a b ɔ̃ d ə ʁ ɛ
abondèrent	a b ɔ̃ d ɛ ʁ
abondé	a b ɔ̃ d e
abonn	a b ɔ n
abonnement	a b ɔ n ə m ɑ̃
abonnements	a b ɔ n m ɑ̃
abonné	a b ɔ n e
abonnée	a b ɔ n e
abonnés	a b ɔ n e
abord	a b ɔ ʁ
aborda	a b ɔ ʁ d a
abordable	a b ɔ ʁ d a b l
abordables	a b ɔ ʁ d a b l
abordage	a b ɔ ʁ d a ʒ
abordaient	a b ɔ ʁ d ɛ
abordais	a b ɔ ʁ d ɛ
abordait	a b ɔ ʁ d ɛ
abordant	a b ɔ ʁ d ɑ̃
aborde	a b ɔ ʁ d
abordent	a b ɔ ʁ d
aborder	a b ɔ ʁ d e
aborderons-nous	a b ɔ ʁ d ə ʁ ɔ̃ n u
abordes	a b ɔ ʁ d
abordons	a b ɔ ʁ d ɔ̃
abords	a b ɔ ʁ
abordèrent	a b ɔ ʁ d ɛ ʁ
abordé	a b ɔ ʁ d e
abordée	a b ɔ ʁ d e
abordées	a b ɔ ʁ d e
aborigène	a b ɔ ʁ i ʒ ɛ n
aborigènes	a b ɔ ʁ i ʒ ɛ n
aboubacar	a b u b a k a ʁ
aboud	a b u d
aboukir	a b u k i ʁ
aboulez	a b u l e
abous-simbel	a b u z s i m b ɛ l
abouti	a b u t i
aboutie	a b u t i
aboutir	a b u t i ʁ
aboutiraient	a b u t i ʁ ɛ
aboutirait	a b u t i ʁ ɛ
aboutirait-il	a b u t i ʁ ɛ t i l
aboutis	a b u t i
aboutissaient	a b u t i s ɛ
aboutissait	a b u t i s ɛ
aboutissant	a b u t i s ɑ̃
aboutissants	a b u t i s ɑ̃
aboutisse	a b u t i s
aboutissement	a b u t i s m ɑ̃
aboutissent	a b u t i s
aboutit	a b u t i
aboya	a b w a j a
aboyaient	a b w a j ɛ
aboyait	a b w a j ɛ
aboyant	a b w a j ɑ̃
aboyer	a b w a j e
aboyeurs	a b w a j œ ʁ
aboyèrent	a b w a j ɛ ʁ
aboyé	a b w a j e
aboyés	a b w a j e
abracadabra	a b ʁ a k a d a b ʁ a
abraham	a b ʁ a a m
abraham-lincoln	a b ʁ a a m l i ŋ k ɔ l n
abraysiens	a b ʁ e z j ɛ̃
abreuvaient	a b ʁ œ v ɛ
abreuve	a b ʁ œ v
abreuvoir	a b ʁ œ v w a ʁ
abreuvé	a b ʁ œ v e
abri	a b ʁ i
abricot	a b ʁ i k o
abricots	a b ʁ i k o
abris	a b ʁ i
abritaient	a b ʁ i t ɛ
abritait	a b ʁ i t ɛ
abritant	a b ʁ i t ɑ̃
abrite	a b ʁ i t
abritent	a b ʁ i t
abriter	a b ʁ i t e
abrité	a b ʁ i t e
abritée	a b ʁ i t e
