!sil	SIL
'c'que	s k
abritées	a b ʁ i t e
abrités	a b ʁ i t e
abrobation	a b ʁ ɔ b a s j ɔ̃
abrogation	a b ʁ ɔ ɡ a s j ɔ̃
abrogé	a b ʁ ɔ ʒ e
abrogée	a b ʁ ɔ ʒ e
abrou	a b ʁ u
abrupt	a b ʁ y p t
abrupte	a b ʁ y p t
abruptes	a b ʁ y p t
abrupts	a b ʁ y p t
abruti	a b ʁ y t i
abruties	a b ʁ y t i
abrutissant	a b ʁ y t i s ɑ̃
abrutissante	a b ʁ y t i s ɑ̃ t
abrégea	a b ʁ e ʒ a
abrégeait	a b ʁ e ʒ ɛ
abrégeant	a b ʁ e ʒ ɑ̃
abrégeons	a b ʁ e ʒ ɔ̃
abréger	a b ʁ e ʒ e
abrégera	a b ʁ ɛ ʒ ə ʁ a
abrégerait	a b ʁ ɛ ʒ ə ʁ ɛ
abrégez	a b ʁ e ʒ e
abrégé	a b ʁ e ʒ e
abrégée	a b ʁ e ʒ e
abréviation	a b ʁ e v j a s j ɔ̃
abréviations	a b ʁ e v j a s j ɔ̃
abréviative	a b ʁ e v j a t i v
abs	a b e ɛ s
absalon	a p s a l ɔ̃
abscente	a b s ɑ̃ t
absence	a b s ɑ̃ s
absences	a p s ɑ̃ s
absent	a p s ɑ̃
absente	a b s ɑ̃ t
absentes	a p s ɑ̃ t
absentons	a b s ɑ̃ t ɔ̃
absents	a p s ɑ̃
absentée	a b s ɑ̃ t e
absentéisme	a p s ɑ̃ t e i s m
absinthe	a p s ɛ̃ t
absinthe-stout-alcool	a p s ɛ t ə s t u t a l k ɔ ɔ l
abso	a b s o
absolu	a b s ɔ l y
absolue	a b s ɔ l y
absolues	a b s ɔ l y
absolument	a b s ɔ l y m ɑ̃
absolutiste	a b s ɔ l y t i s t
absorba	a p s ɔ ʁ b a
absorbaient	a p s ɔ ʁ b ɛ
absorbait	a p s ɔ ʁ b ɛ
absorbant	a p s ɔ ʁ b ɑ̃
absorbante	a p s ɔ ʁ b ɑ̃ t
absorbants	a p s ɔ ʁ b ɑ̃
absorbe	a p s ɔ ʁ b
absorbent	a p s ɔ ʁ b
absorber	a p s ɔ ʁ b e
absorbé	a p s ɔ ʁ b e
absorbée	a p s ɔ ʁ b e
absorbées	a p s ɔ ʁ b e
absorbés	a p s ɔ ʁ b e
absorption	a p s ɔ ʁ p s j ɔ̃
absorptions	a p s ɔ ʁ p s j ɔ̃
absoudre	a p s u d ʁ
absous	a p s u
absout	a p s u
absoute	a p s u t
abstenir	a p s t ə n i ʁ
abstentions	a p s t ɑ̃ s j ɔ̃
abstenu	a b s t ə n y
abstenue	a b s t ə n y
abstiendrez	a b s t j ɛ̃ d ʁ e
abstiendrons	a b s t j ɛ̃ d ʁ ɔ̃
abstiens	a b s t j ɛ̃
abstinence	a p s t i n ɑ̃ s
abstinences	a p s t i n ɑ̃ s
abstraction	a p s t ʁ a k s j ɔ̃
abstraire	a b s t ʁ ɛ ʁ
abstrait	a p s t ʁ ɛ
abstraites	a p s t ʁ ɛ t
absurde	a p s y ʁ d
absurdes	a p s y ʁ d
absurdité	a p s y ʁ d i t e
absurdités	a p s y ʁ d i t e
abu	a b u
abus	a b y
abusa	a b y z a
abusait	a b y z ɛ
abusait-il	a b y z ɛ t i l
abusant	a b y z ɑ̃
abuse	a b y z
abusent	a b y z
abuser	a b y z e
abuses	a b y z
abuseur	a b y z œ ʁ
abusez	a b y z e
abusif	a b y z i f
abusives	a b y z i v
abusons	a b y z ɔ̃
abusé	a b y z e
abusée	a b y z e
abydos	a b i d o s
abzac	a b z a k
abélias	a b e l j a
abîmaient	a b i m ɛ
abîmant	a b i m ɑ̃
abîme	a b i m
abîment	a b i m
abîmer	a b i m e
abîmes	a b i m
abîmé	a b i m e
abîmée	a b i m e
abîmées	a b i m e
abîmés	a b i m e
ac	a k
aca	a k a
acacia	a k a s j a
acacias	a k a s j a
academy	a k a d e m i
académicien	a k a d e m i s j ɛ̃
académiciens	a k a d e m i s j ɛ̃
académie	a k a d e m i
académies	a k a d e m i
académique	a k a d e m i k
académiques	a k a d e m i k
académiste	a k a d e m i s t
acajou	a k a ʒ u
acanthoptérigiens	a k ɑ̃ t ɔ p t e ʁ i ʒ j ɛ̃
acanthoptérygiens	a k ɑ̃ t ɔ p t e ʁ i ʒ j ɛ̃
acanthures-noirauds	a k ɑ̃ t y ʁ n w a ʁ o
acariâtre	a k a ʁ j a t ʁ
acariès	a k a ʁ j ɛ s
acc	a k
accabla	a k a b l a
accablaient	a k a b l ɛ
accablait	a k a b l ɛ
accablant	a k a b l ɑ̃
accablante	a k a b l ɑ̃ t
accablantes	a k a b l ɑ̃ t
accablants	a k a b l ɑ̃
accable	a k a b l
accablement	a k a b l ə m ɑ̃
accablent	a k a b l
accabler	a k a b l e
accableraient	a k a b l ə ʁ ɛ
accablèrent	a k a b l ɛ ʁ
accablé	a k a b l e
accablée	a k a b l e
accablées	a k a b l e
accablés	a k a b l e
accacias	a k a s j a
accalmie	a k a l m i
accalmies	a k a l m i
accaparé	a k a p a ʁ e
accaparés	a k a p a ʁ e
accastillé	a k a s t i j e
acce	a s
accent	a k s ɑ̃
accent-là	a k s ɑ̃ l a
accents	a k s ɑ̃
accentua	a k s ɑ̃ t ɥ a
accentuaient	a k s ɑ̃ t ɥ ɛ
accentuait	a k s ɑ̃ t ɥ ɛ
accentuant	a k s ɑ̃ t ɥ ɑ̃
accentuation	a k s ɑ̃ t ɥ a s j ɔ̃
accentue	a k s ɑ̃ t y
accentuer	a k s ɑ̃ t ɥ e
accentué	a k s ɑ̃ t ɥ e
accentuée	a k s ɑ̃ t ɥ e
accentués	a k s ɑ̃ t ɥ e
accepta	a k s ɛ p t a
accepta-t-il	a k s ɛ p t a t i l
acceptable	a k s ɛ p t a b l
acceptables	a k s ɛ p t a b l
acceptaient	a k s ɛ p t ɛ
acceptais	a k s ɛ p t ɛ
acceptait	a k s ɛ p t ɛ
acceptant	a k s ɛ p t ɑ̃
acceptation	a k s ɛ p t a s j ɔ̃
acceptations	a k s ɛ p t a s j ɔ̃
accepte	a k s ɛ p t
acceptent	a k s ɛ p t
accepter	a k s ɛ p t e
acceptera	a k s ɛ p t ə ʁ a
accepteraient	a k s ɛ p t ə ʁ ɛ
accepterait	a k s ɛ p t ə ʁ ɛ
accepterez	a k s ɛ p t ə ʁ e
accepterez-vous	a k s ɛ p t ə ʁ e v u
accepteriez	a k s ɛ p t ə ʁ j e
accepteriez-vous	a k s ɛ p t ə ʁ j e v u
accepteront	a k s ɛ p t ə ʁ ɔ̃
acceptes	a k s ɛ p t
acceptez	a k s ɛ p t e
acceptez-le	a k s ɛ p t e l ə
acceptez-vous	a k s ɛ p t e v u
acceptiez	a k s ɛ p t j e
acception	a k s ɛ p s j ɔ̃
acceptons	a k s ɛ p t ɔ̃
acceptâmes	a k s ɛ p t a m
acceptèrent	a k s ɛ p t ɛ ʁ
accepté	a k s ɛ p t e
acceptée	a k s ɛ p t e
acceptées	a k s ɛ p t e
acceptés	a k s ɛ p t e
access	a k s ɛ s
accessible	a k s ɛ s i b l
accessibles	a k s ɛ s i b l
accession	a k s ɛ s j ɔ̃
accessit	a k s e s i t
accessoire	a k s e s w a ʁ
accessoirement	a k s e s w a ʁ m ɑ̃
accessoires	a k s e s w a ʁ
acci	a k s i
accident	a k s i d ɑ̃
accidentaient	a k s i d ɑ̃ t ɛ
accidentel	a k s i d ɑ̃ t ɛ l
accidentelle	a k s i d ɑ̃ t ɛ l
accidentellement	a k s i d ɑ̃ t ɛ l m ɑ̃
accidentelles	a k s i d ɑ̃ t ɛ l
accidents	a k s i d ɑ̃
accidenté	a k s i d ɑ̃ t e
accidentée	a k s i d ɑ̃ t e
accidentées	a k s i d ɑ̃ t e
accidentés	a k s i d ɑ̃ t e
accipitres	a k s i p i t ʁ
acclamation	a k l a m a s j ɔ̃
acclamations	a k l a m a s j ɔ̃
acclamer	a k l a m e
acclamé	a k l a m e
acclimater	a k l i m a t e
acclimaté	a k l i m a t e
acclimatés	a k l i m a t e
accointances	a k w ɛ̃ t ɑ̃ s
accolées	a k ɔ l e
accolés	a k ɔ l e
accommoda	a k ɔ m ɔ d a
accommodant	a k ɔ m ɔ d ɑ̃
accommodante	a k ɔ m ɔ d ɑ̃ t
accommodants	a k ɔ m ɔ d ɑ̃
accommode	a k ɔ m ɔ d
accommodement	a k ɔ m ɔ d m ɑ̃
accommodements	a k ɔ m ɔ d m ɑ̃
accommodées	a k ɔ m ɔ d e
accommodés	a k ɔ m ɔ d e
accompa	a k ɔ̃ p a
accompagna	a k ɔ̃ p a ɲ a
accompagnaient	a k ɔ̃ p a ɲ ɛ
accompagnais	a k ɔ̃ p a ɲ ɛ
accompagnait	a k ɔ̃ p a ɲ ɛ
accompagnant	a k ɔ̃ p a ɲ ɑ̃
accompagnants	a k ɔ̃ p a ɲ ɑ̃
accompagnateurs	a k ɔ̃ p a ɲ a t œ ʁ
accompagne	a k ɔ̃ p a ɲ
accompagne-nous	a k ɔ̃ p a ɲ n u
accompagnement	a k ɔ̃ p a ɲ m ɑ̃
accompagnements	a k ɔ̃ p a ɲ m ɑ̃
accompagnent	a k ɔ̃ p a ɲ
accompagner	a k ɔ̃ p a ɲ e
accompagnera	a k ɔ̃ p a ɲ ə ʁ a
accompagnerai	a k ɔ̃ p a ɲ ə ʁ e
accompagnerai-je	a k ɔ̃ p a ɲ ə ʁ e ʒ
accompagneraient	a k ɔ̃ p a ɲ ə ʁ ɛ
accompagnerait	a k ɔ̃ p a ɲ ə ʁ ɛ
accompagnerez	a k ɔ̃ p a ɲ ə ʁ e
accompagnerons	a k ɔ̃ p a ɲ ə ʁ ɔ̃
accompagnez	a k ɔ̃ p a ɲ e
accompagnèrent	a k ɔ̃ p a ɲ ɛ ʁ
accompagné	a k ɔ̃ p a ɲ e
accompagnée	a k ɔ̃ p a ɲ e
accompagnées	a k ɔ̃ p a ɲ e
accompagnés	a k ɔ̃ p a ɲ e
accompli	a k ɔ̃ p l i
accomplie	a k ɔ̃ p l i
accomplies	a k ɔ̃ p l i
accomplir	a k ɔ̃ p l i ʁ
accomplira	a k ɔ̃ p l i ʁ a
accomplis	a k ɔ̃ p l i
accomplissaient	a k ɔ̃ p l i s ɛ
accomplissait	a k ɔ̃ p l i s ɛ
accomplissant	a k ɔ̃ p l i s ɑ̃
accomplissement	a k ɔ̃ p l i s m ɑ̃
accomplissent	a k ɔ̃ p l i s
accomplit	a k ɔ̃ p l i
accompte	a k ɔ̃ t
accord	a k ɔ ʁ
accorda	a k ɔ ʁ d a
accordage	a k ɔ ʁ d a ʒ
accordages	a k ɔ ʁ d a ʒ
accordait	a k ɔ ʁ d ɛ
accordant	a k ɔ ʁ d ɑ̃
accorde	a k ɔ ʁ d
accorde-moi	a k ɔ ʁ d m w a
accordent	a k ɔ ʁ d
accorder	a k ɔ ʁ d e
accorderais	a k ɔ ʁ d ə ʁ ɛ
accorderait	a k ɔ ʁ d ə ʁ ɛ
accordeur	a k ɔ ʁ d œ ʁ
accordez	a k ɔ ʁ d e
accordez-lui	a k ɔ ʁ d e l ɥ i
accordez-moi	a k ɔ ʁ d e m w a
accordez-nous	a k ɔ ʁ d e n u
accordions	a k ɔ ʁ d j ɔ̃
accordons	a k ɔ ʁ d ɔ̃
accords	a k ɔ ʁ
accordé	a k ɔ ʁ d e
accordée	a k ɔ ʁ d e
accordées	a k ɔ ʁ d e
accordéon	a k ɔ ʁ d e ɔ̃
accordéoniste	a k ɔ ʁ d e ɔ n i s t
accordés	a k ɔ ʁ d e
accore	a k ɔ ʁ
accores	a k ɔ ʁ
accosta	a k ɔ s t a
accostaient-ils	a k ɔ s t ɛ t i l
accostait	a k ɔ s t ɛ
accostant	a k ɔ s t ɑ̃
accostassent	a k ɔ s t a s
accoste	a k ɔ s t
accostent	a k ɔ s t
accoster	a k ɔ s t e
accostera	a k ɔ s t ə ʁ a
accosterait	a k ɔ s t ə ʁ ɛ
accosterait-il	a k ɔ s t ə ʁ ɛ t i l
accostions	a k ɔ s t j ɔ̃
accostons	a k ɔ s t ɔ̃
accostèrent	a k ɔ s t ɛ ʁ
accosté	a k ɔ s t e
accostée	a k ɔ s t e
accostées	a k ɔ s t e
accoté	a k ɔ t e
accotées	a k ɔ t e
accou	a k u
accoucha	a k u ʃ a
accouchant	a k u ʃ ɑ̃
accouche	a k u ʃ
accouchement	a k u ʃ m ɑ̃
accouchements	a k u ʃ m ɑ̃
accoucher	a k u ʃ e
accouchera	a k u ʃ ə ʁ a
accoucheu	a k u ʃ ø
accouché	a k u ʃ e
accouchée	a k u ʃ e
accouda	a k u d a
accoudoirs	a k u d w a ʁ
accoudé	a k u d e
accoudée	a k u d e
accoudés	a k u d e
accoupler	a k u p l e
accouraient	a k u ʁ ɛ
accourait	a k u ʁ ɛ
accourant	a k u ʁ ɑ̃
accourent	a k u ʁ
accourez	a k u ʁ e
accourir	a k u ʁ i ʁ
accourra	a k u ʁ ʁ a
accourront	a k u ʁ ʁ ɔ̃
accourt	a k u ʁ
accouru	a k u ʁ y
accourue	a k u ʁ y
accoururent	a k u ʁ y ʁ
accourus	a k u ʁ y
accourut	a k u ʁ y
accoutrement	a k u t ʁ ə m ɑ̃
accoutrements	a k u t ʁ ə m ɑ̃
accoutré	a k u t ʁ e
accoutumait	a k u t y m ɛ
accoutume	a k u t y m
accoutumer	a k u t y m e
accoutumé	a k u t y m e
accoutumée	a k u t y m e
accoutumées	a k u t y m e
accoutumés	a k u t y m e
accoyer	a k w a j e
accras	a k ʁ a
accrocha	a k ʁ ɔ ʃ a
accrochant	a k ʁ ɔ ʃ ɑ̃
accroche	a k ʁ ɔ ʃ
accroche-la	a k ʁ ɔ ʃ l a
accrochent	a k ʁ ɔ ʃ
accrocher	a k ʁ ɔ ʃ e
accrocherai	a k ʁ ɔ ʃ ə ʁ e
accrochez	a k ʁ ɔ ʃ e
accrochiez	a k ʁ ɔ ʃ j e
accrochons-nous	a k ʁ ɔ ʃ ɔ̃ n u
accrochèrent	a k ʁ ɔ ʃ ɛ ʁ
accroché	a k ʁ ɔ ʃ e
accrochée	a k ʁ ɔ ʃ e
accrochées	a k ʁ ɔ ʃ e
accrochés	a k ʁ ɔ ʃ e
accrocs	a k ʁ o
accroire	a k ʁ w a ʁ
accroissait	a k ʁ w a s ɛ
accroissant	a k ʁ w a s ɑ̃
accroissement	a k ʁ w a s m ɑ̃
accroissent	a k ʁ w a s
accroissez	a k ʁ w a s e
accros	a k ʁ o
accroupi	a k ʁ u p i
accroupie	a k ʁ u p i
accroupis	a k ʁ u p i
accroît	a k ʁ w a
accroîtrait	a k ʁ w a t ʁ ɛ
accroître	a k ʁ w a t ʁ
accroîtrez	a k ʁ w a t ʁ e
accru	a k ʁ y
accrue	a k ʁ y
accrues	a k ʁ y
accrurent	a k ʁ y ʁ
accrus	a k ʁ y
accrut	a k ʁ y
accréditée	a k ʁ e d i t e
accueil	a k œ j
accueillait	a k œ j ɛ
accueillant	a k œ j ɑ̃
accueillante	a k œ j ɑ̃ t
accueillantes	a k œ j ɑ̃ t
accueillants	a k œ j ɑ̃
accueille	a k œ j
accueillent	a k œ j
accueillerait	a k œ j ə ʁ ɛ
accueilleriez	a k œ j ə ʁ j e
accueilles	a k œ j
accueillez	a k œ j e
accueilli	a k œ j i
accueillie	a k œ j i
accueillies	a k œ j i
accueillir	a k œ j i ʁ
accueillirent	a k œ j i ʁ
accueillis	a k œ j i
accueillit	a k œ j i
accueils	a k œ j
acculé	a k y l e
acculés	a k y l e
accumulait	a k y m y l ɛ
accumulation	a k y m y l a s j ɔ̃
accumule	a k y m y l
accumuler	a k y m y l e
accumules	a k y m y l
accumulé	a k y m y l e
accumulée	a k y m y l e
accumulées	a k y m y l e
accumulés	a k y m y l e
accusa	a k y z a
accusait	a k y z ɛ
accusant	a k y z ɑ̃
accusateur	a k y z a t œ ʁ
accusateurs	a k y z a t œ ʁ
accusation	a k y z a s j ɔ̃
accusations	a k y z a s j ɔ̃
accusatrice	a k y z a t ʁ i s
accuse	a k y z
accusent	a k y z
accuser	a k y z e
accuserai	a k y z ə ʁ e
accuserait	a k y z ə ʁ ɛ
accuserez	a k y z ə ʁ e
accusez	a k y z e
accusez-vous	a k y z e v u
accusèrent	a k y z ɛ ʁ
accusé	a k y z e
accusée	a k y z e
accusées	a k y z e
accusés	a k y z e
accède	a k s ɛ d
accèdent	a k s ɛ d
accès	a k s ɛ
accé	a k s e
accéder	a k s e d e
accédez	a k s e d e
accédé	a k s e d e
accéléra	a k s e l e ʁ a
accélérait	a k s e l e ʁ ɛ
accélérateurs	a k s e l e ʁ a t œ ʁ
accélération	a k s e l e ʁ a s j ɔ̃
accélérer	a k s e l e ʁ e
accéléré	a k s e l e ʁ e
accélérée	a k s e l e ʁ e
acer	a s e ʁ
ach	a ʃ
achalandage	a ʃ a l ɑ̃ d a ʒ
achalandait	a ʃ a l ɑ̃ d ɛ
achalandé	a ʃ a l ɑ̃ d e
achalandée	a ʃ a l ɑ̃ d e
achard	a ʃ a ʁ
acharnait	a ʃ a ʁ n ɛ
acharnement	a ʃ a ʁ n ə m ɑ̃
acharné	a ʃ a ʁ n e
acharnée	a ʃ a ʁ n e
acharnés	a ʃ a ʁ n e
achat	a ʃ a
achats	a ʃ a
acheminerons	a ʃ m i n ə ʁ ɔ̃
acheta	a ʃ ə t a
achetable	a ʃ t a b l
achetaient	a ʃ ə t ɛ
achetais	a ʃ ə t ɛ
achetait	a ʃ ə t ɛ
achetant	a ʃ t ɑ̃
acheter	a ʃ t e
acheteur	a ʃ ə t œ ʁ
acheteurs	a ʃ t œ ʁ
achetez	a ʃ ə t e
achetez-le	a ʃ ə t e l ə
achetez-moi	a ʃ ə t e m w a
achetez-vous	a ʃ ə t e v u
achetiez	a ʃ ə t j e
achetât	a ʃ ə t a
acheté	a ʃ ə t e
achetée	a ʃ ə t e
achetées	a ʃ ə t e
achetés	a ʃ ə t e
acheva	a ʃ ə v a
acheva-t-il	a ʃ ə v a t i l
achevaient	a ʃ ə v ɛ
achevais	a ʃ ə v ɛ
achevait	a ʃ ə v ɛ
achevalés	a ʃ ə v a l e
achevant	a ʃ ə v ɑ̃
achever	a ʃ ə v e
achevez	a ʃ ə v e
achevions	a ʃ ə v j ɔ̃
achevèrent	a ʃ ə v ɛ ʁ
achevé	a ʃ ə v e
achevée	a ʃ ə v e
achevées	a ʃ ə v e
achevés	a ʃ ə v e
achille	a ʃ i l
achères	a ʃ ɛ ʁ
achète	a ʃ ɛ t
achète-t-il	a ʃ ɛ t t i l
achètent	a ʃ ɛ t
achètera	a ʃ ɛ t ə ʁ a
achèterai	a ʃ ɛ t ə ʁ e
achèterais	a ʃ ɛ t ə ʁ ɛ
achèterait	a ʃ ɛ t ə ʁ ɛ
achèteras	a ʃ ɛ t ə ʁ a
achèterez	a ʃ ɛ t ə ʁ e
achètes	a ʃ ɛ t
achève	a ʃ ɛ v
