a	ɑ
catalyst(2)	k ɑ t ɛ l ɛ s t
catalyst(4)	k ɑ t ɑ l j s t i
catania	k ɑ t ɑ n i ɑ
catania(2)	k ɛ t ɛ j n j ɛ
cate	k ɑ t ɛ
category	k ɑ t ɛ ɠ ɔ ɾ j
category(2)	k ɑ t ɛ ɠ ɔ ɾ i
caterpillar	k ɑ t ɛ ɾ p i l l ɑ ɾ
caterpillar(2)	k ɑ t ɛ p i l ɛ ɾ
caterpillar(4)	k ɑ t ɛ ɾ p i l l ɑ ɾ i
catherine	k ɑ θ ɛ ɾ i n ɛ
catherine(2)	k ɑ θ ɛ ɾ ɛ n
cathireen	k ɑ θ i ɾ ɛ ɛ n
catholic	k ɑ θ ɔ l i k
catholic(2)	k ɑ θ l i k
catholic(4)	k ɑ θ ɔ l i k i
caucus	k ɑ u k u s
caucus(2)	k ɔ k ɛ s
caucus(4)	k ɑ u k u s i
cavani	k ɑ v ɑ n i
cayman	k ɑ j m ɑ n
cbc	k ɓ k
cbc(3)	s i ɓ i s i
cbc(4)	k ɓ k i
cbd	k ɓ ɗ
cbd(3)	s i ɓ i ɗ i
cbd(4)	k ɓ ɗ i
cbe	k ɓ ɛ
cbe(3)	s i ɓ i i
cbf	k ɓ f
cbf(3)	s i ɓ i ɛ f
cbf(4)	k ɓ f u
cbt	k ɓ t
cbt(3)	s i ɓ i t i
cbt(4)	k ɓ t i
cc	k k
cc(2)	s i s i
cc(3)	s i s i
cc(4)	k k i
ccbrt	k k ɓ ɾ t
ccbrt(4)	k k ɓ ɾ t i
ccc	k k k
ccc(3)	s i s i s i
ccc(4)	k k k i
ccj	k k ʄ
ccj(3)	s i s i ʄ ɛ
ccj(4)	k k ʄ i
cck	k k
cck(3)	s i s i k ɛ
cck(4)	k k i
ccm	k k m
ccm(3)	s i s i ɛ m
ccm(4)	k k m u
ccp	k k p
ccp(3)	s i s i p i
ccp(4)	k k p u
cct	k k t
cct(3)	s i s i t i
cct(4)	k k t i
cctv	k k t v
cctv(3)	s i s i t i v i
cctv(4)	k k t v u
cd	k ɗ
cd(2)	s i ɗ i
cd(3)	s i ɗ i
cd(4)	k ɗ i
cda	k ɗ ɑ
cda(3)	s i ɗ i ɛ
cdc	k ɗ k
cdc(2)	s i ɗ i s i
cdc(3)	s i ɗ i s i
cdc(4)	k ɗ k i
cdcf	k ɗ k f
cdcf(3)	s i ɗ i s i ɛ f
cdcf(4)	k ɗ k f u
cdf	k ɗ f
cdf(3)	s i ɗ i ɛ f
cdf(4)	k ɗ f u
cdi	k ɗ i
cdi(3)	s i ɗ i ɑ j
cdm	k ɗ m
cdm(3)	s i ɗ i ɛ m
cdm(4)	k ɗ m u
cds	k ɗ s
cds(2)	s i ɗ i z
cds(3)	s i ɗ i ɛ s
cds(4)	k ɗ s i
cecafa	k ɛ k ɑ f ɑ
cech	k ɛ t͡ʃ
cech(2)	s ɛ k
cech(4)	k ɛ t͡ʃ i
cecilia	k ɛ k i l i ɑ
cecilia(2)	s i s i l j ɛ
cedaw	k ɛ ɗ ɑ w
cedrick	k ɛ ɗ ɾ i k
cedrick(4)	k ɛ ɗ ɾ i k i
cegodeta	k ɛ ɠ ɔ ɗ ɛ t ɑ
cekafa	k ɛ k ɑ f ɑ
celebrity	k ɛ l ɛ ɓ ɾ i t j
celebrity(2)	s ɛ l ɛ ɓ ɾ i t i
celestin	k ɛ l ɛ s t i n
celestin(2)	s ɛ l i s t i n
celestin(4)	k ɛ l ɛ s t i n i
celestine	k ɛ l ɛ s t i n ɛ
celestine(2)	t͡ʃ ɛ l ɛ s t i n i
celina	k ɛ l i n ɑ
celina(2)	s ɛ l i n ɛ
celine	k ɛ l i n ɛ
celine(2)	s ɛ l i n
cell	k ɛ l l
cell(2)	s ɛ l
cell(3)	s i i ɛ l ɛ l
cell(4)	k ɛ l l i
celtel	k ɛ l t ɛ l
celtel(4)	k ɛ l t ɛ l i
celtic	k ɛ l t i k
celtic(2)	s ɛ l t i k
celtic(4)	k ɛ l t i k i
celtics	k ɛ l t i k s
celtics(2)	s ɛ l t i k s
celtics(4)	k ɛ l t i k s i
cement	k ɛ m ɛ n t
cement(2)	s ɛ m ɛ n t
cement(4)	k ɛ m ɛ n t i
cent	k ɛ n t
cent(2)	s ɛ n t
cent(3)	s i i ɛ n t i
cent(4)	k ɛ n t i
center	k ɛ n t ɛ ɾ
center(2)	s ɛ n t ɛ ɾ
center(4)	k ɛ n t ɛ ɾ i
central	k ɛ n t ɾ ɑ l
central(2)	s ɛ n t ɾ ɛ l
central(4)	k ɛ n t ɾ ɑ l i
centre	k ɛ n t ɾ ɛ
centre(2)	s ɛ n t ɛ ɾ
century	k ɛ n t u ɾ j
century(2)	s ɛ n t͡ʃ ɛ ɾ i
ceo	k ɛ ɔ
cepuch	k ɛ p u t͡ʃ
cepuch(4)	k ɛ p u t͡ʃ i
cesar	k ɛ s ɑ ɾ
cesar(2)	s i z ɛ ɾ
cesar(4)	k ɛ s ɑ ɾ i
cesc	k ɛ s k
cesc(3)	s i i ɛ s s i
cesc(4)	k ɛ s k i
cesilia	k ɛ s i l i ɑ
cfa	k f ɑ
cfa(3)	s i ɛ f ɛ
cfc	k f k
cfc(3)	s i ɛ f s i
cfc(4)	k f k i
cfr	k f ɾ
cfr(3)	s i ɛ f ɑ ɾ
cfr(4)	k f ɾ i
cgap	k ɠ ɑ p
cgap(3)	s i ʄ i ɛ p i
cgap(4)	k ɠ ɑ p u
ch	t͡ʃ
ch(3)	s i ɛ ʄ
ch(4)	t͡ʃ i
cha	t͡ʃ ɑ
chaani	t͡ʃ ɑ ɑ n i
chabada	t͡ʃ ɑ ɓ ɑ ɗ ɑ
chabata	t͡ʃ ɑ ɓ ɑ t ɑ
chabruma	t͡ʃ ɑ ɓ ɾ u m ɑ
chacha	t͡ʃ ɑ t͡ʃ ɑ
chachage	t͡ʃ ɑ t͡ʃ ɑ ɠ ɛ
chachandu	t͡ʃ ɑ t͡ʃ ɑ ⁿɗ u
chache	t͡ʃ ɑ t͡ʃ ɛ
chachu	t͡ʃ ɑ t͡ʃ u
chad	t͡ʃ ɑ ɗ
chad(2)	t͡ʃ ɑ ɗ
chad(4)	t͡ʃ ɑ ɗ i
chadema	t͡ʃ ɑ ɗ ɛ m ɑ
chadli	t͡ʃ ɑ ɗ l i
chadli(2)	t͡ʃ ɑ ɗ l i
chafanya	t͡ʃ ɑ f ɑ n j ɑ
chafu	t͡ʃ ɑ f u
chafya	t͡ʃ ɑ f j ɑ
chaga	t͡ʃ ɑ ɠ ɑ
chagamoto	t͡ʃ ɑ ɠ ɑ m ɔ t ɔ
chagizo	t͡ʃ ɑ ɠ i z ɔ
chagonja	t͡ʃ ɑ ɠ ɔ ⁿɗ͡ʒ ɑ
chagua	t͡ʃ ɑ ɠ u ɑ
chagueni	t͡ʃ ɑ ɠ u ɛ n i
chagula	t͡ʃ ɑ ɠ u l ɑ
chagulaga	t͡ʃ ɑ ɠ u l ɑ ɠ ɑ
chaguliwa	t͡ʃ ɑ ɠ u l i w ɑ
chaguo	t͡ʃ ɑ ɠ u ɔ
chaguzi	t͡ʃ ɑ ɠ u z i
chahita	t͡ʃ ɑ h i t ɑ
chai	t͡ʃ ɑ i
chai(2)	t͡ʃ ɑ j
chain	t͡ʃ ɑ i n
chairman	t͡ʃ ɑ i ɾ m ɑ n
chairman(2)	t͡ʃ ɛ ɾ m ɛ n
chairman(4)	t͡ʃ ɑ i ɾ m ɑ n i
chaja	t͡ʃ ɑ ʄ ɑ
chaji	t͡ʃ ɑ ʄ i
chajitembeza	t͡ʃ ɑ ʄ i t ɛ ᵐɓ ɛ z ɑ
chajiuza	t͡ʃ ɑ ʄ i u z ɑ
chaka	t͡ʃ ɑ k ɑ
chakacha	t͡ʃ ɑ k ɑ t͡ʃ ɑ
chakachaka	t͡ʃ ɑ k ɑ t͡ʃ ɑ k ɑ
chakachua	t͡ʃ ɑ k ɑ t͡ʃ u ɑ
chakari	t͡ʃ ɑ k ɑ ɾ i
chakavu	t͡ʃ ɑ k ɑ v u
chakaza	t͡ʃ ɑ k ɑ z ɑ
chake	t͡ʃ ɑ k ɛ
chakechake	t͡ʃ ɑ k ɛ t͡ʃ ɑ k ɛ
chaki	t͡ʃ ɑ k i
chako	t͡ʃ ɑ k ɔ
chakua	t͡ʃ ɑ k u ɑ
chakula	t͡ʃ ɑ k u l ɑ
chakushangaza	t͡ʃ ɑ k u ʃ ɑ ᵑg ɑ z ɑ
chakustaajabisha	t͡ʃ ɑ k u s t ɑ ɑ ʄ ɑ ɓ i ʃ ɑ
chakwale	t͡ʃ ɑ k w ɑ l ɛ
chalamila	t͡ʃ ɑ l ɑ m i l ɑ
chale	t͡ʃ ɑ l ɛ
chalenji	t͡ʃ ɑ l ɛ ⁿɗ͡ʒ i
chali	t͡ʃ ɑ l i
chaligha	t͡ʃ ɑ l i ɣ ɑ
chalinze	t͡ʃ ɑ l i ⁿz ɛ
chalker	t͡ʃ ɑ l k ɛ ɾ
chalker(2)	t͡ʃ ɔ k ɛ ɾ
chalker(4)	t͡ʃ ɑ l k ɛ ɾ i
challenge	t͡ʃ ɑ l l ɛ ᵑg ɛ
challenge(2)	t͡ʃ ɑ l ɛ n ʄ
challenji	t͡ʃ ɑ l l ɛ ⁿɗ͡ʒ i
chally	t͡ʃ ɑ l l j
chalo	t͡ʃ ɑ l ɔ
chalz	t͡ʃ ɑ l z
chalz(4)	t͡ʃ ɑ l z i
chama	t͡ʃ ɑ m ɑ
chamakh	t͡ʃ ɑ m ɑ x
chamakh(4)	t͡ʃ ɑ m ɑ x i
chamangwana	t͡ʃ ɑ m ɑ ᵑg w ɑ n ɑ
chamani	t͡ʃ ɑ m ɑ n i
chamazi	t͡ʃ ɑ m ɑ z i
chambani	t͡ʃ ɑ ᵐɓ ɑ n i
chamber	t͡ʃ ɑ ᵐɓ ɛ ɾ
chamber(2)	t͡ʃ ɛ j m ɓ ɛ ɾ
chamber(4)	t͡ʃ ɑ ᵐɓ ɛ ɾ i
chambers	t͡ʃ ɑ ᵐɓ ɛ ɾ s
chambers(2)	t͡ʃ ɛ j m ɓ ɛ ɾ z
chambers(4)	t͡ʃ ɑ ᵐɓ ɛ ɾ s i
chambiri	t͡ʃ ɑ ᵐɓ i ɾ i
chambo	t͡ʃ ɑ ᵐɓ ɔ
chambua	t͡ʃ ɑ ᵐɓ u ɑ
chambuso	t͡ʃ ɑ ᵐɓ u s ɔ
chameleon	t͡ʃ ɑ m ɛ l ɛ ɔ n
chameleon(2)	t͡ʃ ɛ m ɛ l i ɛ n
chameleon(4)	t͡ʃ ɑ m ɛ l ɛ ɔ n i
chameleone	t͡ʃ ɑ m ɛ l ɛ ɔ n ɛ
chami	t͡ʃ ɑ m i
chamisa	t͡ʃ ɑ m i s ɑ
champagne	t͡ʃ ɑ m p ɑ ɠ n ɛ
champagne(2)	ʃ ɑ m p ɛ j n
champanda	t͡ʃ ɑ m p ɑ ⁿɗ ɑ
champion	t͡ʃ ɑ m p i ɔ n
champion(2)	t͡ʃ ɑ m p i ɛ n
champion(4)	t͡ʃ ɑ m p i ɔ n i
championi	t͡ʃ ɑ m p i ɔ n i
champions	t͡ʃ ɑ m p i ɔ n s
champions(2)	t͡ʃ ɑ m p i ɛ n z
champions(4)	t͡ʃ ɑ m p i ɔ n s i
championship	t͡ʃ ɑ m p i ɔ n ʃ i p
championship(2)	t͡ʃ ɑ m p i ɛ n ʃ i p
championship(4)	t͡ʃ ɑ m p i ɔ n ʃ i p u
chamshama	t͡ʃ ɑ m ʃ ɑ m ɑ
chamudata	t͡ʃ ɑ m u ɗ ɑ t ɑ
chamungu	t͡ʃ ɑ m u ᵑg u
chamwino	t͡ʃ ɑ m w i n ɔ
chan	t͡ʃ ɑ n
chan(2)	t͡ʃ ɑ n
chan(4)	t͡ʃ ɑ n i
chana	t͡ʃ ɑ n ɑ
chana(2)	t͡ʃ ɑ n ɛ
chanagamoto	t͡ʃ ɑ n ɑ ɠ ɑ m ɔ t ɔ
chance	t͡ʃ ɑ n k ɛ
chance(2)	t͡ʃ ɑ n s
chancellor	t͡ʃ ɑ n k ɛ l l ɔ ɾ
chancellor(2)	t͡ʃ ɑ n s ɛ l ɛ ɾ
chancellor(4)	t͡ʃ ɑ n k ɛ l l ɔ ɾ i
chanda	t͡ʃ ɑ ⁿɗ ɑ
chanda(2)	t͡ʃ ɑ n ɗ ɛ
chandarua	t͡ʃ ɑ ⁿɗ ɑ ɾ u ɑ
chande	t͡ʃ ɑ ⁿɗ ɛ
chando	t͡ʃ ɑ ⁿɗ ɔ
chandubhai	t͡ʃ ɑ ⁿɗ u ɓ h ɑ i
chanel	t͡ʃ ɑ n ɛ l
chanel(2)	ʃ ɛ n ɛ l
chanel(4)	t͡ʃ ɑ n ɛ l i
chaneli	t͡ʃ ɑ n ɛ l i
chaneta	t͡ʃ ɑ n ɛ t ɑ
chaneza	t͡ʃ ɑ n ɛ z ɑ
chang	t͡ʃ ɑ ᵑg
chang(2)	t͡ʃ ɑ ᵑg
chang(4)	t͡ʃ ɑ ᵑg i
changa	t͡ʃ ɑ ᵑg ɑ
changalamacho	t͡ʃ ɑ ᵑg ɑ l ɑ m ɑ t͡ʃ ɔ
changamani	t͡ʃ ɑ ᵑg ɑ m ɑ n i
changamoto	t͡ʃ ɑ ᵑg ɑ m ɔ t ɔ
changanuzi	t͡ʃ ɑ ᵑg ɑ n u z i
changanya	t͡ʃ ɑ ᵑg ɑ n j ɑ
changanyikeni	t͡ʃ ɑ ᵑg ɑ n j i k ɛ n i
changarawe	t͡ʃ ɑ ᵑg ɑ ɾ ɑ w ɛ
changawa	t͡ʃ ɑ ᵑg ɑ w ɑ
change	t͡ʃ ɑ ᵑg ɛ
change(2)	t͡ʃ ɛ j n ʄ
changga	t͡ʃ ɑ ɑ
changgombe	t͡ʃ ɑ ɔ ᵐɓ ɛ
changgwalu	t͡ʃ ɑ w ɑ l u
changia	t͡ʃ ɑ ᵑg i ɑ
changombe	t͡ʃ ɑ ᵑg ɔ ᵐɓ ɛ
changomoto	t͡ʃ ɑ ᵑg ɔ m ɔ t ɔ
changu	t͡ʃ ɑ ᵑg u
changudoa	t͡ʃ ɑ ᵑg u ɗ ɔ ɑ
changuo	t͡ʃ ɑ ᵑg u ɔ
changwalu	t͡ʃ ɑ ᵑg w ɑ l u
changzou	t͡ʃ ɑ ᵑg z ɔ u
chanika	t͡ʃ ɑ n i k ɑ
chanila	t͡ʃ ɑ n i l ɑ
chanjo	t͡ʃ ɑ ⁿɗ͡ʒ ɔ
channel	t͡ʃ ɑ n n ɛ l
channel(2)	t͡ʃ ɑ n ɛ l
channel(4)	t͡ʃ ɑ n n ɛ l i
chano	t͡ʃ ɑ n ɔ
chansela	t͡ʃ ɑ n s ɛ l ɑ
chansi	t͡ʃ ɑ n s i
chantal	t͡ʃ ɑ n t ɑ l
chantal(2)	t͡ʃ ɑ n t ɛ l
chantal(4)	t͡ʃ ɑ n t ɑ l i
chanya	t͡ʃ ɑ n j ɑ
chanzo	t͡ʃ ɑ ⁿz ɔ
chao	t͡ʃ ɑ ɔ
chao(2)	t͡ʃ ɑ w
chaouchi	t͡ʃ ɑ ɔ u t͡ʃ i
chap	t͡ʃ ɑ p
chap(2)	t͡ʃ ɑ p
chap(4)	t͡ʃ ɑ p u
chapa	t͡ʃ ɑ p ɑ
chapa(2)	t͡ʃ ɑ p ɛ
chapati	t͡ʃ ɑ p ɑ t i
chapchap	t͡ʃ ɑ p t͡ʃ ɑ p
chapchap(4)	t͡ʃ ɑ p t͡ʃ ɑ p u
chapembe	t͡ʃ ɑ p ɛ ᵐɓ ɛ
chapisho	t͡ʃ ɑ p i ʃ ɔ
chapu	t͡ʃ ɑ p u
chapuchapu	t͡ʃ ɑ p u t͡ʃ ɑ p u
chapuo	t͡ʃ ɑ p u ɔ
charahani	t͡ʃ ɑ ɾ ɑ h ɑ n i
charambe	t͡ʃ ɑ ɾ ɑ ᵐɓ ɛ
charge	t͡ʃ ɑ ɾ ɠ ɛ
charge(2)	t͡ʃ ɑ ɾ ʄ
charity	t͡ʃ ɑ ɾ i t j
charity(2)	t͡ʃ ɛ ɾ i t i
charle	t͡ʃ ɑ ɾ l ɛ
charle(2)	t͡ʃ ɑ ɾ l
charles	t͡ʃ ɑ ɾ l ɛ s
charles(2)	t͡ʃ ɑ ɾ l z
charles(4)	t͡ʃ ɑ ɾ l ɛ s i
charlie	t͡ʃ ɑ ɾ l i ɛ
charlie(2)	t͡ʃ ɑ ɾ l i
charls	t͡ʃ ɑ ɾ l s
charls(2)	t͡ʃ ɑ ɾ l z
charls(4)	t͡ʃ ɑ ɾ l s i
charlton	t͡ʃ ɑ ɾ l t ɔ n
charlton(2)	t͡ʃ ɑ ɾ l t ɛ n
charlton(4)	t͡ʃ ɑ ɾ l t ɔ n i
chart	t͡ʃ ɑ ɾ t
chart(2)	t͡ʃ ɑ ɾ t
chart(4)	t͡ʃ ɑ ɾ t i
chartered	t͡ʃ ɑ ɾ t ɛ ɾ ɛ ɗ
chartered(2)	t͡ʃ ɑ ɾ t ɛ ɾ ɗ
chartered(4)	t͡ʃ ɑ ɾ t ɛ ɾ ɛ ɗ i
chasama	t͡ʃ ɑ s ɑ m ɑ
chaser	t͡ʃ ɑ s ɛ ɾ
chaser(2)	t͡ʃ ɛ j s ɛ ɾ
chaser(4)	t͡ʃ ɑ s ɛ ɾ i
chasimba	t͡ʃ ɑ s i ᵐɓ ɑ
chata	t͡ʃ ɑ t ɑ
chatanda	t͡ʃ ɑ t ɑ ⁿɗ ɑ
chatco	t͡ʃ ɑ t k ɔ
chati	t͡ʃ ɑ t i
chato	t͡ʃ ɑ t ɔ
chato(2)	t͡ʃ ɛ j t ɔ
chatu	t͡ʃ ɑ t u
chatwanga	t͡ʃ ɑ t w ɑ ᵑg ɑ
chau	t͡ʃ ɑ u
chau(2)	ʃ ɔ
chaudhary	t͡ʃ ɑ u ð ɑ ɾ j
chaula	t͡ʃ ɑ u l ɑ
chaurembo	t͡ʃ ɑ u ɾ ɛ ᵐɓ ɔ
chausiku	t͡ʃ ɑ u s i k u
chausta	t͡ʃ ɑ u s t ɑ
chavda	t͡ʃ ɑ v ɗ ɑ
chavez	t͡ʃ ɑ v ɛ z
chavez(2)	ʃ ɑ v ɛ z
chavez(4)	t͡ʃ ɑ v ɛ z i
chavula	t͡ʃ ɑ v u l ɑ
chawa	t͡ʃ ɑ w ɑ
chawala	t͡ʃ ɑ w ɑ l ɑ
chawe	t͡ʃ ɑ w ɛ
chawene	t͡ʃ ɑ w ɛ n ɛ
chaweza	t͡ʃ ɑ w ɛ z ɑ
chawote	t͡ʃ ɑ w ɔ t ɛ
chaz	t͡ʃ ɑ z
chaz(2)	t͡ʃ ɑ z
chaz(4)	t͡ʃ ɑ z i
chaza	t͡ʃ ɑ z ɑ
che	t͡ʃ ɛ
che(2)	t͡ʃ ɛ j
cheap	t͡ʃ ɛ ɑ p
chebe	t͡ʃ ɛ ɓ ɛ
chebet	t͡ʃ ɛ ɓ ɛ t
chebet(4)	t͡ʃ ɛ ɓ ɛ t i
chebeya	t͡ʃ ɛ ɓ ɛ j ɑ
chebi	t͡ʃ ɛ ɓ i
chebii	t͡ʃ ɛ ɓ i i
cheche	t͡ʃ ɛ t͡ʃ ɛ
chechnya	t͡ʃ ɛ t͡ʃ n j ɑ
chechnya(2)	t͡ʃ ɛ t͡ʃ n i ɛ
check	t͡ʃ ɛ k
check(2)	t͡ʃ ɛ k
check(4)	t͡ʃ ɛ k i
chediel	t͡ʃ ɛ ɗ i ɛ l
chediel(4)	t͡ʃ ɛ ɗ i ɛ l i
chee	t͡ʃ ɛ ɛ
chee(2)	t͡ʃ i
chef	t͡ʃ ɛ f
chef(2)	ʃ ɛ f
chef(4)	t͡ʃ ɛ f u
chege	t͡ʃ ɛ ɠ ɛ
chegeni	t͡ʃ ɛ ɠ ɛ n i
chegge	t͡ʃ ɛ ɠ ɠ ɛ
cheikh	t͡ʃ ɛ i x
cheikh(4)	t͡ʃ ɛ i x i
cheka	t͡ʃ ɛ k ɑ
chekacheka	t͡ʃ ɛ k ɑ t͡ʃ ɛ k ɑ
chekeche	t͡ʃ ɛ k ɛ t͡ʃ ɛ
chekechea	t͡ʃ ɛ k ɛ t͡ʃ ɛ ɑ
chekereni	t͡ʃ ɛ k ɛ ɾ ɛ n i
cheki	t͡ʃ ɛ k i
chekundu	t͡ʃ ɛ k u ⁿɗ u
chelewa	t͡ʃ ɛ l ɛ w ɑ
cheli	t͡ʃ ɛ l i
chelili	t͡ʃ ɛ l i l i
chelsea	t͡ʃ ɛ l s ɛ ɑ
chelsea(2)	t͡ʃ ɛ l s i
chem	t͡ʃ ɛ m
chem(2)	k ɛ m
chem(4)	t͡ʃ ɛ m u
chema	t͡ʃ ɛ m ɑ
chema(2)	t͡ʃ ɛ m ɑ
chemba	t͡ʃ ɛ ᵐɓ ɑ
chembamba	t͡ʃ ɛ ᵐɓ ɑ ᵐɓ ɑ
chembe	t͡ʃ ɛ ᵐɓ ɛ
chembechembe	t͡ʃ ɛ ᵐɓ ɛ t͡ʃ ɛ ᵐɓ ɛ
chemchem	t͡ʃ ɛ m t͡ʃ ɛ m
chemchem(4)	t͡ʃ ɛ m t͡ʃ ɛ m u
chemchemi	t͡ʃ ɛ m t͡ʃ ɛ m i
chemical	t͡ʃ ɛ m i k ɑ l
chemical(2)	k ɛ m ɛ k ɛ l
chemical(4)	t͡ʃ ɛ m i k ɑ l i
chemichem	t͡ʃ ɛ m i t͡ʃ ɛ m
chemichem(4)	t͡ʃ ɛ m i t͡ʃ ɛ m u
chemichemi	t͡ʃ ɛ m i t͡ʃ ɛ m i
chemli	t͡ʃ ɛ m l i
chemsha	t͡ʃ ɛ m ʃ ɑ
chen	t͡ʃ ɛ n
chen(2)	t͡ʃ ɛ n
chen(4)	t͡ʃ ɛ n i
cheney	t͡ʃ ɛ n ɛ j
cheney(2)	t͡ʃ ɛ j n i
chenga	t͡ʃ ɛ ᵑg ɑ
chenge	t͡ʃ ɛ ᵑg ɛ
chengula	t͡ʃ ɛ ᵑg u l ɑ
cheni	t͡ʃ ɛ n i
chenji	t͡ʃ ɛ ⁿɗ͡ʒ i
chennoth	t͡ʃ ɛ n n ɔ θ
chennoth(4)	t͡ʃ ɛ n n ɔ θ i
chenu	t͡ʃ ɛ n u
chenye	t͡ʃ ɛ n j ɛ
chenyenye	t͡ʃ ɛ n j ɛ n j ɛ
chenyewe	t͡ʃ ɛ n j ɛ w ɛ
cheo	t͡ʃ ɛ ɔ
chepe	t͡ʃ ɛ p ɛ
chepechepe	t͡ʃ ɛ p ɛ t͡ʃ ɛ p ɛ
chepesi	t͡ʃ ɛ p ɛ s i
cheque	t͡ʃ ɛ k ɛ
cherehani	t͡ʃ ɛ ɾ ɛ h ɑ n i
chereko	t͡ʃ ɛ ɾ ɛ k ɔ
cherif	t͡ʃ ɛ ɾ i f
cherif(4)	t͡ʃ ɛ ɾ i f u
cherise	t͡ʃ ɛ ɾ i s ɛ
cherry	t͡ʃ ɛ ɾ ɾ j
cherry(2)	t͡ʃ ɛ ɾ i
cheruiyot	t͡ʃ ɛ ɾ u i j ɔ t
cheruiyot(4)	t͡ʃ ɛ ɾ u i j ɔ t i
cheryl	t͡ʃ ɛ ɾ j l
cheryl(2)	ʃ ɛ ɾ ɛ l
cheryl(4)	t͡ʃ ɛ ɾ j l i
chesco	t͡ʃ ɛ s k ɔ
chesesi	t͡ʃ ɛ s ɛ s i
chesisi	t͡ʃ ɛ s i s i
cheti	t͡ʃ ɛ t i
chetu	t͡ʃ ɛ t u
cheupe	t͡ʃ ɛ u p ɛ
cheusi	t͡ʃ ɛ u s i
chevez	t͡ʃ ɛ v ɛ z
chevron	t͡ʃ ɛ v ɾ ɔ n
chevron(2)	ʃ ɛ v ɾ ɛ n
chevron(4)	t͡ʃ ɛ v ɾ ɔ n i
cheyo	t͡ʃ ɛ j ɔ
cheza	t͡ʃ ɛ z ɑ
chezntemba	t͡ʃ ɛ z n t ɛ ᵐɓ ɑ
chezwa	t͡ʃ ɛ z w ɑ
chf	t͡ʃ f
chf(3)	s i ɛ ʄ ɛ f
chf(4)	t͡ʃ f u
chi	t͡ʃ i
chi(2)	k ɑ j
chibeya	t͡ʃ i ɓ ɛ j ɑ
chibogoyo	t͡ʃ i ɓ ɔ ɠ ɔ j ɔ
chibula	t͡ʃ i ɓ u l ɑ
chibulunje	t͡ʃ i ɓ u l u ⁿɗ͡ʒ ɛ
chibura	t͡ʃ i ɓ u ɾ ɑ
chibwana	t͡ʃ i ɓ w ɑ n ɑ
chicago	t͡ʃ i k ɑ ɠ ɔ
chicago(2)	ʃ ɛ k ɑ ɠ ɔ
chicco	t͡ʃ i k k ɔ
chichi	t͡ʃ i t͡ʃ i
chichi(2)	t͡ʃ i t͡ʃ i
chico	t͡ʃ i k ɔ
chico(2)	t͡ʃ i k ɔ
chid	t͡ʃ i ɗ
chid(4)	t͡ʃ i ɗ i
chidavaenzi	t͡ʃ i ɗ ɑ v ɑ ɛ ⁿz i
chidawali	t͡ʃ i ɗ ɑ w ɑ l i
chidi	t͡ʃ i ɗ i
chidumule	t͡ʃ i ɗ u m u l ɛ
chiduo	t͡ʃ i ɗ u ɔ
chief	t͡ʃ i ɛ f
chief(2)	t͡ʃ i f
chief(4)	t͡ʃ i ɛ f u
chiefs	t͡ʃ i ɛ f s
chiefs(2)	t͡ʃ i f s
chiefs(4)	t͡ʃ i ɛ f s i
chievo	t͡ʃ i ɛ v ɔ
chifu	t͡ʃ i f u
chifupa	t͡ʃ i f u p ɑ
chiganga	t͡ʃ i ɠ ɑ ᵑg ɑ
chigumbi	t͡ʃ i ɠ u ᵐɓ i
chigunga	t͡ʃ i ɠ u ᵑg ɑ
chihota	t͡ʃ i h ɔ t ɑ
chii	t͡ʃ i i
chijoriga	t͡ʃ i ʄ ɔ ɾ i ɠ ɑ
chika	t͡ʃ i k ɑ
chikanamulilo	t͡ʃ i k ɑ n ɑ m u l i l ɔ
chikawe	t͡ʃ i k ɑ w ɛ
chiki	t͡ʃ i k i
chiku	t͡ʃ i k u
chikuyu	t͡ʃ i k u j u
chilala	t͡ʃ i l ɑ l ɑ
chilambo	t͡ʃ i l ɑ ᵐɓ ɔ
chilapondwa	t͡ʃ i l ɑ p ɔ ⁿɗ w ɑ
child	t͡ʃ i l ɗ
child(2)	t͡ʃ ɑ j l ɗ
child(4)	t͡ʃ i l ɗ i
children	t͡ʃ i l ɗ ɾ ɛ n
children(2)	t͡ʃ i l ɗ ɾ ɛ n
children(4)	t͡ʃ i l ɗ ɾ ɛ n i
chile	t͡ʃ i l ɛ
chile(2)	t͡ʃ i l i
chilewa	t͡ʃ i l ɛ w ɑ
chiligati	t͡ʃ i l i ɠ ɑ t i
chilla	t͡ʃ i l l ɑ
chillah	t͡ʃ i l l ɑ h
chilligati	t͡ʃ i l l i ɠ ɑ t i
chillo	t͡ʃ i l l ɔ
chilo	t͡ʃ i l ɔ
chilolo	t͡ʃ i l ɔ l ɔ
chilongola	t͡ʃ i l ɔ ᵑg ɔ l ɑ
chilonwa	t͡ʃ i l ɔ n w ɑ
chiluba	t͡ʃ i l u ɓ ɑ
chilumba	t͡ʃ i l u ᵐɓ ɑ
chimae	t͡ʃ i m ɑ ɛ
chimala	t͡ʃ i m ɑ l ɑ
chimbalanga	t͡ʃ i ᵐɓ ɑ l ɑ ᵑg ɑ
chimbo	t͡ʃ i ᵐɓ ɔ
chimbuko	t͡ʃ i ᵐɓ u k ɔ
chimwaga	t͡ʃ i m w ɑ ɠ ɑ
chin	t͡ʃ i n
chin(2)	t͡ʃ i n
chin(4)	t͡ʃ i n i
